RESPNR	HHNR	HHPNR	INSTRU	INT000	INT001	INT004	INT044	INT071	INT087	INT229	INT239	INT264	INT265	INT265A	INT266	INT266A	INT267	INT268	INT270	INT271	INT272	INT276	INT278	INT279	INT281	INT282	INT283	INT284	INT285	INT286	INT287	INT289	INT291	INT292	INT293	INT295	INT296	INT300	INT301	INT303	INT305	INT307	INT309	INT311	INT313	INT314	INT315	INT318	INT319	INT320	INT321	INT322	INT323	INT600	INT601	INT602	INT603	INT604	INT605	INT606	INT607	INT608	INT609	INT610	INT611	INT612	INT613	INT614	INT615	INT616	INT617	INT618	INT619	INT620	INT621	INT622	INT623	INT624	INT625	V040	V041	V049	V065	V200	V201	V202	VAR0000	VAR001	VAR002	VAR003	VAR006	VAR016	VAR040	VAR043	VAR064	VAR065	VAR096	VAR100	VAR101	VAR103	VAR107	VAR109	VAR121	VAR122	VAR124	VAR125	VAR131	VAR132	VAR133	VAR134	VAR135	VAR149	VAR151	VAR153	VAR154	VAR154A	VAR155	VAR156	VAR157	VAR157A	VAR164	VAR165	VAR166	VAR167	VAR179	VAR180	VAR181	VAR183	VAR184	VAR185	VAR198	VAR201	VAR204	VAR221	VAR229	VAR271	VAR272	VAR273	VAR274	VAR275	VAR318	VAR319	VAR320	VAR346	VAR351	VAR406	VAR407	VAR408	VAR409	VAR410	VAR411	VAR412	VAR413	VAR414	VAR430	VAR431	VAR433	VAR434	VAR437	VAR439	VAR445	VAR454	VAR461	VAR462	VAR491	VAR493	VAR497	VAR499	VAR515	VAR516	VAR546	VAR548	VAR550	VAR567	VAR568	VAR569	VAR570	VAR571	VAR572	VAR573	VAR574	VAR589A	VAR589B	VAR589C	VAR589D	VAR589E	VAR589F	VAR591	VAR592	VAR594	VAR599	VAR600	VAR608	VAR626	VAR627	VAR628	VAR629	VAR630	VAR631	VAR632A	VAR632B	VAR632C	VAR632E	VAR632F	VAR632G	VAR634	VAR635	VAR636	VAR683B	VAR684	VAR687	VAR688	VAR723	VAR728B	VAR729B	VAR768	VAR848	VAR849	VAR900A	VAR900B	VAR900C	VAR900D	VAR900E	VAR900F	VAR900G	VAR900H	VAR900J	VAR900K	VAR900L	VAR900M	VAR900N	VAR900O	VAR901	VAR902	VAR903	VAR904	VAR905	VAR906	VAR907	VAR908	VAR909	VAR910	VAR911	VAR912	VAR913	VAR914	VAR915	VAR916	VAR917	VAR918	VAR919	VAR920	VAR921	VAR922	VAR923	VAR924	VAR925	VAR926	VAR927	VAR928	VAR929	VAR951	VAR952	VAR953	VAR1031	VAR1033	VAR1046A	VAR1046B	VAR1046C	VAR1046D	VAR1046E	VAR1046F	VAR1046G	VAR1046H	VAR1046I	VAR1046J	VAR1046K	VAR1046L	VAR1046M	VAR1046N	VAR1046O	VAR1046P	VAR1050	VAR1052	VAR1061	VAR1062	VAR1076	VAR1077	VAR1103	VAR1104	VAR1105X	VAR1106	VAR1140	VAR1141	VAR1142	VAR1143	VAR1145A	VAR1145B	VAR1145C	VAR1145D	VAR1145E	VAR1145F	VAR1145G	VAR1145H	VAR1145I	VAR1145J	VAR1145K	VAR1145L	VAR1145M	VAR1146	VAR1161	VAR1162A	VAR1162B	VAR1162C	VAR1162D	VAR1162E	VAR1162F	VAR1162G	VAR1162H	VAR1162I	VAR1162J	VAR1162K	VAR1162L	VAR1162M	VAR1163	VAR1227	VAR1228	VAR1229	VAR1230	VAR3000	ISCO
1	1	1	1	1	9	0	2	4	5	3	4	3	1	1	2	3	3	3	3	3	2	3	3	3	2	3	3	-3	4	4	3	-3	2	2	3	2	3	3	2	2	4	3	3	3	2	2	1	3	2	1	2	2	2	3	3	4	3	3	1	2	3	1	2	4	2	2	4	3	4	3	3	3	2	2	2	2	5	4	2	2	1	2	1	1	2	6		2	53	4	2	7	2	1	2	-3	1	3	2	1	1	3	1	3	2	3	1	1	1	1	1	1	3	2	3	2	3	-3	3	3	1	4	4	1	1	1	1	1	2	1	3	3	4	3	3	-3	2	2	1	2	2	1	1	1	2	2	1	2	1	3	1	3	1	3	4	4	4	4	4	3	4	2	2	10	2	2	3	1	1	1	3	2	-5	1	3	2	-5	1	2	1	2	1	1	1	2	1	2	2	2	4	2	2	2	4	11	18	4	2		193	20	10	10	2	99	3	3	3	3	8	1	1	-5	3	3	1	1	5	1.06	15	11	1	5	2	2	1	4302013	2	2	1634	1528	4	1	1	1	6				2	53																					2	3	3	2	4	5	3	4	9	11	15	8	12	7	6	10	16	2	13	1	14	2	2	1	6	1	2	2	3	4	2	2	2	2	4	3	-3	6	6	6	6	5	6	6	7	5	6	5	3	-3	3	2	2	3	3	3	3	2	2	2	3	2	2	3	3	3	-3	-3	11108	5123
2	2	1	1	1	16	0	5	4	4	5	5	3	4	4	2	2	4	4	3	2	5	2	3	4	3	3	4	-3	2	4	3	-3	3	-3	-3	2	3	3	1	3	4	4	2	3	1	2	2	4	2	2	1	2	1	1	3	3	2	4	1	2	1	2	3	5	4	2	3	4	4	4	4	3	5	4	2	2	3	4	3	1	-5	1	2	2	2	1		1	27	1	4	6	1	3	2	1	5	5	5	2	4	4	2	4	2	3	2	1	2	2	1	1	2	2	3	2	3	1	3	3	1	2	2	2	1	1	1	2	2	1	3	1	5	-5	5	2	1	1	1	5	2	2	1	5	4	2	1	2	3	3	1	3	1	1	5	4	4	5	4	5	5	4	3	17	4	1	3	1	2	2	3	2	-5	1	1	1	1	2	-5	1	1	1	1	1	1	1	1	2	2	5	2	1	2	4	11	18	4	2		193	20	10	10	2	99	1	3	1	2	2	1	3	38	2	3	2	5	4	1.03	13	11	1	3	2	4	2	4302013	2	2	1207	1104	1	2	1	2	6		1	27	2	27																					3	3	3	1	5	3	4	12	1	10	2	8	9	7	5	13	15	11	14	6	16	2	2	0	0	1	2	4	3	3	4	3	1	1	3	6	7	5	7	8	6	3	8	4	8	7	6	5	2	5	3	2	1	3	2	3	3	1	1	2	2	1	3	2	2	3	4	4	46708	7241
3	3	1	1	1	20	0	2	1	1	6	3	2	4	4	1	1	2	4	4	-6	3	-6	2	3	3	3	3	3	3	2	3	1	4	2	2	4	2	3	2	3	3	3	3	3	2	2	1	2	2	2	1	2	2	2	3	2	2	3	2	2	1	1	2	4	4	3	4	3	4	3	3	-6	4	2	2	4	2	4	4	1	-5	1	1	2	2	1		2	49	1	4	7	1	1	1	1	3	3	2	3	4	2	4	4	4	2	1	1	2	1	2	1	3	1	3	2	3	3	3	3	2	4	3	3	1	1	2	2	1	1	4	4	1	2	5	2	3	3	1	7	2	1	2	3	4	2	1	2	3	1	3	3	3	1	2	4	2	3	5	5	2	4	4	16	2	2	1	1	3	-5	2	2	-5	1	3	1	3	1	3	1	2	1	1	3	3	3	3	2	2	4	2	2	3	4	11	18	4	2		193	20	10	10	2	99	1	3	1	1	1	1	3	19	3	3	3	4	4	1.02	10	11	1	4	1	2	2	4302013	2	2	1355	1253	3	1	1	2	6		1	50	2	49											2	14	2	11	2	10					2	2	3	2	2	10	14	11	4	16	15	13	9	7	6	5	3	12	8	2	1	2	2	5	0	3	2	2	3	3	2	2	2	2	3	6	6	6	6	6	6	7	7	7	6	7	5	6	3	2	3	2	2	2	3	3	3	2	3	3	2	3	2	2	2	4	4	2	57210	3231
4	4	1	1	1	13	0	2	2	5	2	3	2	2	1	3	3	2	3	2	2	1	2	3	2	2	3	4	5	2	2	2	3	4	1	1	1	2	2	2	2	2	3	3	3	2	2	2	5	2	2	1	2	4	-3	3	3	3	3	3	2	1	2	2	2	1	1	4	3	2	4	3	3	1	2	2	3	2	3	3	2	1	1	2	2	2	8		1	69	1	4	8	2	1	2	2	2	3	1	1	2	1	3	3	2	1	1	2	1	1	1	3	3	2	3	2	3	2	3	2	3	5	3	2	2	2	1	2	1	2	2	2	1	3	5	2	2	1	1	-3	1	1	1	2	4	3	2	3	3	1	3	3	3	3	2	1	2	1	2	1	1	2	4	6	3	2	3	1	2	2	2	1	2	1	2	1	3	2	-5	1	3	1	1	1	1	1	4	2	2	4	2	2	1	4	15	30	5	4	6	296	40	15	14	3	11	3	3	3	2	2	1	1	-5	1	1	1	2	4	1.03	30	10	1	2	2	3	1	5417002	3	3	1037	934	3	2	1	3	6		1	69	2	75																					1	1	3	1	4	5	8	3	12	7	14	9	16	13	1	6	11	10	2	4	15	2	2	2	0	2	2	1	2	4	2	3	1	1	3	5	6	5	5	5	5	6	6	5	5	5	6	6	3	4	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	4	2	11117	8290
5	5	1	1	1	14	-5	2	2	5	6	4	3	-3	4	-7	2	2	4	4	4	2	4	3	2	3	3	2	2	2	4	2	1	1	4	4	1	1	3	2	3	3	2	3	2	2	2	2	4	2	2	1	2	4	2	2	5	4	3	2	2	1	1	2	2	4	2	4	3	3	4	3	2	2	2	3	4	2	2	3	1	-5	-5	1	3	1	9		2	44	1	6	-5	1	1	1	2	2	2	2	2	4	2	5	5	2	2	2	1	2	2	2	1	1	2	3	2	-3	-3	-3	3	1	5	4	3	1	1	1	1	1	1	2	2	2	3	2	3	3	3	1	-3	2	2	2	4	5	2	2	3	1	1	1	3	3	1	4	2	1	2	4	4	1	4	3	16	3	2	3	1	2	2	1	2	-5	2	-5	2	-5	1	3	1	3	1	1	1	1	1	4	3	2	4	1	1	4	4	15	30	5	4	6	296	40	15	14	3	11	1	3	3	3	1	1	1	8	3	3	2	4	2	1.05	25	10	1	4	2	4	2	5417002	3	3	1034	929	1	1	1	2	6		1	44	2	44											2	15									1	2	2	3	2	9	7	15	1	11	16	12	14	2	10	8	6	13	4	3	5	2	2	10	6	2	1	1	3	4	4	1	2	4	3	6	6	7	6	7	7	6	7	6	7	7	6	6	2	2	3	2	2	3	2	2	3	3	3	2	2	3	3	2	2	4	3	2	-5	-5
6	6	1	1	1	8	0	1	1	5	4	1	1	3	1	1	-6	-3	4	3	1	3	3	2	1	1	3	5	5	5	2	3	3	2	2	2	1	2	4	3	4	3	2	4	3	-3	2	4	4	2	2	2	2	4	2	2	3	2	4	3	2	2	1	2	2	5	3	4	4	4	3	3	2	1	1	1	3	1	3	3	2	1	2	2	1	3	6		1	58	1	2	7	1	2	2	-3	2	3	2	2	1	3	1	5	2	3	2	1	2	2	2	1	2	-3	3	2	3	2	2	2	1	4	4	1	1	2	1	1	1	1	2	1	5	-5	3	-3	-3	1	1	1	2	1	1	1	1	3	2	3	1	3	1	3	3	3	1	1	5	1	1	1	5	3	4	13	1	1	3	5	2	2	4	2	-5	2	-5	1	1	2	-5	1	2	1	1	4	2	1	4	3	1	5	2	2	1	4	15	30	5	4	6	296	40	15	14	3	11	1	3	1	2	2	1	1	-5	1	2	2	1	5	0.41	25	10	1	3	2	3	1	5417002	3	3	2032	1951	3	2	1	1	6		1	58	2	58																					2	2	3	1	5	3	4	2	6	9	15	8	13	7	5	12	11	10	14	1	16	1	3	6	0	2	2	4	4	4	4	3	1	1	4	1	1	1	5	7	1	1	3	1	1	1	10	5	2	4	3	2	2	2	3	3	3	2	1	3	2	1	3	3	2	4	4	4	34202	5160
7	7	1	1	1	16	0	2	3	4	3	5	4	1	4	4	1	4	4	4	4	2	4	4	4	2	2	2	2	2	4	3	2	2	-3	4	2	1	2	1	3	3	3	2	2	2	2	1	3	1	2	1	2	3	-3	4	4	3	2	3	3	1	2	1	4	4	2	3	2	2	3	3	1	3	4	2	2	2	4	4	1	-5	5	1	3	1	1		2	34	1	6	3	1	1	1	2	2	2	2	2	4	1	4	4	1	1	1	1	1	1	1	1	3	1	-3	2	3	2	2	2	1	4	-3	2	1	1	2	1	1	1	1	1	4	-5	3	-3	3	3	1	-3	2	2	2	3	4	2	2	3	1	-3	1	3	1	3	-3	4	4	4	-3	5	4	5	3	14	2	2	3	8	2	2	1	2	-5	1	3	2	-5	1	3	1	3	1	1	1	1	1	1	3	2	3	2	2	4	4	14	26	5	4	5	226	26	15	14	4	6	1	3	3	3	1	2	-5	35	3	3	1	2	2	0.56	10	10	1	4	2	5	2	5431002	4	3	2029	1933	1	1	1	2	6		1	33	2	34											2	8	1	6	1	3					2	2	3	2	2	4	15	16	1	8	14	13	5	3	7	6	12	11	2	9	10	2	2	0	1	2	2	1	1	3	2	1	2	2	1	6	7	7	6	6	7	7	7	6	6	7	7	6	2	2	3	2	3	3	3	2	2	2	3	2	2	2	3	2	2	2	3	2	69203	3225
8	8	1	1	1	17	10	2	5	4	2	3	3	2	2	4	4	3	4	3	4	3	4	4	2	3	2	1	1	2	4	3	2	2	3	3	2	2	2	2	2	4	3	3	3	2	2	2	3	2	2	1	2	3	3	2	4	4	3	3	3	3	3	2	3	3	3	3	2	2	3	3	2	2	2	3	2	2	4	2	1	-5	4	1	4	1	1		2	27	1	7	5	1	3	1	2	2	2	2	5	3	1	2	3	2	2	2	2	2	2	2	1	2	1	3	3	2	2	3	3	1	4	3	2	1	1	1	1	1	1	2	1	4	-5	3	2	3	2	1	5	2	2	2	3	4	3	2	3	1	1	1	3	3	1	4	5	2	3	4	3	4	4	2	16	2	1	3	1	1	2	1	2	-5	1	2	1	2	2	-5	1	1	1	1	1	1	1	3	2	2	4	2	2	3	4	14	26	5	4	5	226	26	15	14	4	6	1	3	3	3	2	1	2	38	3	3	1	2	4	0.42	12	10	1	2	2	2	2	5431002	4	3	2025	1943	2	1	1	3	6		1	29	2	27																					1	3	3	2	2	4	9	14	13	12	16	8	11	7	3	1	15	5	2	6	10	4	2	1	2	3	2	2	2	3	3	1	2	4	1	5	7	7	6	6	6	7	7	5	6	6	5	5	2	2	3	2	2	2	3	3	2	3	3	2	2	3	3	2	3	3	3	3	46229	1223
9	9	1	1	1	10	5	2	1	5	1	4	2	2	2	4	1	4	4	4	4	2	2	4	2	2	3	3	2	2	4	1	1	1	1	1	1	1	3	2	1	3	3	3	4	2	2	1	3	1	1	1	2	3	1	2	4	4	3	2	1	3	2	1	2	4	2	2	1	1	2	2	1	1	2	3	2	1	2	3	2	1	1	1	1	3	8		1	76	1	2	8	3	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	2	1	2	2	2	2	3	-3	2	4	5	1	1	1	1	2	1	1	1	1	5	-5	5	2	-3	2	1	5	2	2	1	1	1	2	2	2	1	1	1	3	3	1	2	4	1	2	2	2	1	1	2	14	2	1	3	1	3	-5	3	1	1	2	-5	1	2	1	3	1	2	1	1	1	1	1	1	-3	2	3	2	2	2	4	14	26	5	4	5	226	26	15	14	4	6	1	3	1	2	2	1	1	-5	1	2	3	1	4	1.2	13	10	1	5	2	6	1	5431002	1	2	1601	1441	1	2	1	2	6		1	76	2	73																					2	3	3	1	4	15	10	11	9	12	16	3	13	8	4	2	1	6	7	5	14	2	2	1	1	2	3	2	3	4	3	3	1	1	3	5	7	6	7	6	7	6	6	7	7	7	6	7	2	1	3	2	2	2	3	3	2	3	3	2	2	2	2	2	2	3	4	2	46417	7210
10	10	1	1	1	6	0	2	1	5	2	2	-3	1	1	2	3	4	3	-3	4	2	2	2	1	3	2	2	-3	5	2	2	4	4	2	2	1	2	4	1	3	3	1	3	4	1	2	3	5	2	2	1	2	4	4	2	2	3	-3	2	2	2	3	2	2	-3	4	4	1	3	4	-3	2	1	1	1	4	2	1	3	2	1	1	2	1	4	8		2	78	1	1	9	4	1	-3	2	1	3	1	2	2	1	-3	3	5	2	2	2	1	2	2	1	4	1	2	-3	3	-3	-3	-3	1	4	4	2	1	1	2	1	1	1	1	1	5	-5	3	2	3	2	3	-5	1	1	1	1	1	3	1	3	-3	1	3	3	3	1	1	1	5	2	-3	1	5	1	-3	-2	5	2	3	1	3	-5	4	2	-5	2	-5	1	3	2	-5	1	2	4	2	-3	4	4	4	3	2	4	2	2	1	4	14	26	5	4	5	226	26	15	14	4	6	3	3	1	2	2	1	1	-5	1	2	3	1	5	0.52	9	10	1	4	1	3	1	5431002	2	3	1608	1516	3	1	1	1	6		1	79	2	78																					2	2	3	1	5	4	14	3	13	10	16	1	8	9	5	7	11	6	2	12	15	2	2	0	0	-3	3	2	-3	3	2	3	1	1	3	6	6	8	6	6	3	5	-3	5	6	-3	7	6	2	5	3	2	-3	3	3	3	3	3	3	3	3	1	2	2	-3	2	4	4	31701	5220
